A,13,0,0,0
AS,224,0,0,0
K,60,0,0,0
KAPI69,40,5,0,0
KOCIAK,102,5,0,0
KURA,18,0,0,0
KURRA,154,0,0,0
KUURA,2646,18,44,0
S,1551,4,47,0
SORY,160,0,0,0
